"","Vcmax","Jmax","Rd","Ci.transition","Treatment","Year","Site","Rep","ID","PrePeak","Region"
"1","34.21715465","79.19822337","6.096889056","649.0934318","wet","2014","S02","1","28","peak","South"
"2","61.63470759","117.5342657","-5.073555114","410.7291872","wet","2010","S02","1","1","pre","South"
"3","2.75540885","16.98800271","-5.738136919","1999.999916","wet","2014","S02","1","35","peak","South"
"4","53.00148289","120.7783118","4.755498194","605.8306916","wet","2014","S02","1","29","peak","South"
"5","16.63287679","44.35074556","-7.977798059","993.9484166","wet","2010","S02","1","7","pre","South"
"6","80.42172823","137.9967216","-9.069263276","322.2571882","wet","2010","S02","1","8","pre","South"
"7","65.72316078","141.322696","5.632415841","515.8893286","wet","2014","S02","1","37","peak","South"
"8","69.49027173","149.8136994","2.054825993","512.570204","wet","2010","S02","1","6","pre","South"
"9","69.88468258","157.3098593","-3.875491327","558.829453","dry","2010","S02","1","4","pre","South"
"10","50.70243247","103.1147794","1.688933171","478.8562867","dry","2014","S02","1","28","peak","South"
"11","52.98052451","100.9198499","5.483141845","411.8595985","dry","2014","S02","1","29","peak","South"
"12","41.56601127","99.50572226","-5.288138466","700.7028239","dry","2010","S02","1","6","pre","South"
"13","53.79845263","107.3668969","-3.770595837","448.7816885","dry","2010","S02","1","3","pre","South"
"14","18.10019102","40.29345214","1.362620069","620.7133262","dry","2014","S02","1","34","peak","South"
"15","95.17515024","54.51772323","-11.52828584","44.99256167","dry","2010","S02","1","8","pre","South"
"16","64.00058253","131.4474554","5.6576958","472.6348847","dry","2010","S02","1","7","pre","South"
"17","45.47433499","92.71219028","1.470999246","482.076146","dry","2014","S02","1","37","peak","South"
"18","59.19702398","125.5153971","-5.064575086","511.2975275","dry","2014","S02","1","35","peak","South"
"19","60.00343616","124.058955","-5.01601589","466.4845923","dry","2014","S02","1","36","peak","South"
"20","13.92961057","32.11248165","1.309056038","678.6049486","dry","2014","S02","1","31","peak","South"
"21","47.94632373","93.58285206","4.5382759","443.4221759","dry","2010","S02","1","5","pre","South"
"22","77.8630235","118.2172836","3.130121613","256.8125212","wet","2014","S07","1","54","peak","South"
"23","43.53253583","90.062765","7.628324058","505.3835138","wet","2014","S07","1","57","peak","South"
"24","115.2372352","116.8352313","-10.72864831","108.5007027","wet","2014","S07","1","51","peak","South"
"25","62.02019306","90.54566852","-15.11026412","244.4744368","wet","2010","S07","1","41","pre","South"
"26","58.86533672","118.1493289","5.130265848","457.6323601","wet","2010","S07","1","40","pre","South"
"27","-0.06818964","22.37178175","-14.1777763","45.01801115","wet","2014","S07","1","52","peak","South"
"28","56.17244604","94.32222406","-8.174230437","324.2714368","wet","2010","S07","1","38B","pre","South"
"29","53.37399841","114.6849992","11.56337488","534.0723823","wet","2014","S07","1","49","peak","South"
"30","66.10808992","107.8358529","-12.87781059","301.0004564","wet","2010","S07","1","38A","pre","South"
"31","58.57195443","111.4154579","-5.523434601","411.5623464","dry","2010","S07","1","41","pre","South"
"32","50.12325258","80.14524198","-3.91082084","297.2001249","dry","2014","S07","1","57","peak","South"
